relationship_id,skill_id,level_id,proficiency_description
SL0001,S001,L016,Python proficiency at 0-2 Years Experience level
SL0002,S001,L017,Python proficiency at 2-5 Years Experience level
SL0003,S001,L018,Python proficiency at 5-8 Years Experience level
SL0004,S001,L019,Python proficiency at 8-12 Years Experience level
SL0005,S002,L016,Java proficiency at 0-2 Years Experience level
SL0006,S002,L017,Java proficiency at 2-5 Years Experience level
SL0007,S002,L018,Java proficiency at 5-8 Years Experience level
SL0008,S002,L019,Java proficiency at 8-12 Years Experience level
SL0009,S003,L016,JavaScript proficiency at 0-2 Years Experience level
SL0010,S003,L017,JavaScript proficiency at 2-5 Years Experience level
SL0011,S003,L018,JavaScript proficiency at 5-8 Years Experience level
SL0012,S003,L019,JavaScript proficiency at 8-12 Years Experience level
SL0013,S004,L016,TypeScript proficiency at 0-2 Years Experience level
SL0014,S004,L017,TypeScript proficiency at 2-5 Years Experience level
SL0015,S004,L018,TypeScript proficiency at 5-8 Years Experience level
SL0016,S004,L019,TypeScript proficiency at 8-12 Years Experience level
SL0017,S005,L016,C++ proficiency at 0-2 Years Experience level
SL0018,S005,L017,C++ proficiency at 2-5 Years Experience level
SL0019,S005,L018,C++ proficiency at 5-8 Years Experience level
SL0020,S005,L019,C++ proficiency at 8-12 Years Experience level
SL0021,S006,L016,Go proficiency at 0-2 Years Experience level
SL0022,S006,L017,Go proficiency at 2-5 Years Experience level
SL0023,S006,L018,Go proficiency at 5-8 Years Experience level
SL0024,S006,L019,Go proficiency at 8-12 Years Experience level
SL0025,S007,L016,Rust proficiency at 0-2 Years Experience level
SL0026,S007,L017,Rust proficiency at 2-5 Years Experience level
SL0027,S007,L018,Rust proficiency at 5-8 Years Experience level
SL0028,S007,L019,Rust proficiency at 8-12 Years Experience level
SL0029,S008,L016,Swift proficiency at 0-2 Years Experience level
SL0030,S008,L017,Swift proficiency at 2-5 Years Experience level
SL0031,S008,L018,Swift proficiency at 5-8 Years Experience level
SL0032,S008,L019,Swift proficiency at 8-12 Years Experience level
SL0033,S009,L016,Kotlin proficiency at 0-2 Years Experience level
SL0034,S009,L017,Kotlin proficiency at 2-5 Years Experience level
SL0035,S009,L018,Kotlin proficiency at 5-8 Years Experience level
SL0036,S009,L019,Kotlin proficiency at 8-12 Years Experience level
SL0037,S010,L016,R proficiency at 0-2 Years Experience level
SL0038,S010,L017,R proficiency at 2-5 Years Experience level
SL0039,S010,L018,R proficiency at 5-8 Years Experience level
SL0040,S010,L019,R proficiency at 8-12 Years Experience level
SL0041,S011,L016,React proficiency at 0-2 Years Experience level
SL0042,S011,L017,React proficiency at 2-5 Years Experience level
SL0043,S011,L018,React proficiency at 5-8 Years Experience level
SL0044,S011,L019,React proficiency at 8-12 Years Experience level
SL0045,S012,L016,Angular proficiency at 0-2 Years Experience level
SL0046,S012,L017,Angular proficiency at 2-5 Years Experience level
SL0047,S012,L018,Angular proficiency at 5-8 Years Experience level
SL0048,S012,L019,Angular proficiency at 8-12 Years Experience level
SL0049,S013,L016,Vue.js proficiency at 0-2 Years Experience level
SL0050,S013,L017,Vue.js proficiency at 2-5 Years Experience level
SL0051,S013,L018,Vue.js proficiency at 5-8 Years Experience level
SL0052,S013,L019,Vue.js proficiency at 8-12 Years Experience level
SL0053,S014,L016,Node.js proficiency at 0-2 Years Experience level
SL0054,S014,L017,Node.js proficiency at 2-5 Years Experience level
SL0055,S014,L018,Node.js proficiency at 5-8 Years Experience level
SL0056,S014,L019,Node.js proficiency at 8-12 Years Experience level
SL0057,S015,L016,Express.js proficiency at 0-2 Years Experience level
SL0058,S015,L017,Express.js proficiency at 2-5 Years Experience level
SL0059,S015,L018,Express.js proficiency at 5-8 Years Experience level
SL0060,S015,L019,Express.js proficiency at 8-12 Years Experience level
SL0061,S016,L016,Django proficiency at 0-2 Years Experience level
SL0062,S016,L017,Django proficiency at 2-5 Years Experience level
SL0063,S016,L018,Django proficiency at 5-8 Years Experience level
SL0064,S016,L019,Django proficiency at 8-12 Years Experience level
SL0065,S017,L016,Flask proficiency at 0-2 Years Experience level
SL0066,S017,L017,Flask proficiency at 2-5 Years Experience level
SL0067,S017,L018,Flask proficiency at 5-8 Years Experience level
SL0068,S017,L019,Flask proficiency at 8-12 Years Experience level
SL0069,S018,L016,Spring Boot proficiency at 0-2 Years Experience level
SL0070,S018,L017,Spring Boot proficiency at 2-5 Years Experience level
SL0071,S018,L018,Spring Boot proficiency at 5-8 Years Experience level
SL0072,S018,L019,Spring Boot proficiency at 8-12 Years Experience level
SL0073,S019,L016,Laravel proficiency at 0-2 Years Experience level
SL0074,S019,L017,Laravel proficiency at 2-5 Years Experience level
SL0075,S019,L018,Laravel proficiency at 5-8 Years Experience level
SL0076,S019,L019,Laravel proficiency at 8-12 Years Experience level
SL0077,S020,L016,Ruby on Rails proficiency at 0-2 Years Experience level
SL0078,S020,L017,Ruby on Rails proficiency at 2-5 Years Experience level
SL0079,S020,L018,Ruby on Rails proficiency at 5-8 Years Experience level
SL0080,S020,L019,Ruby on Rails proficiency at 8-12 Years Experience level
SL0081,S021,L016,MySQL proficiency at 0-2 Years Experience level
SL0082,S021,L017,MySQL proficiency at 2-5 Years Experience level
SL0083,S021,L018,MySQL proficiency at 5-8 Years Experience level
SL0084,S021,L019,MySQL proficiency at 8-12 Years Experience level
SL0085,S022,L016,PostgreSQL proficiency at 0-2 Years Experience level
SL0086,S022,L017,PostgreSQL proficiency at 2-5 Years Experience level
SL0087,S022,L018,PostgreSQL proficiency at 5-8 Years Experience level
SL0088,S022,L019,PostgreSQL proficiency at 8-12 Years Experience level
SL0089,S023,L016,MongoDB proficiency at 0-2 Years Experience level
SL0090,S023,L017,MongoDB proficiency at 2-5 Years Experience level
SL0091,S023,L018,MongoDB proficiency at 5-8 Years Experience level
SL0092,S023,L019,MongoDB proficiency at 8-12 Years Experience level
SL0093,S024,L016,Redis proficiency at 0-2 Years Experience level
SL0094,S024,L017,Redis proficiency at 2-5 Years Experience level
SL0095,S024,L018,Redis proficiency at 5-8 Years Experience level
SL0096,S024,L019,Redis proficiency at 8-12 Years Experience level
SL0097,S025,L016,Oracle Database proficiency at 0-2 Years Experience level
SL0098,S025,L017,Oracle Database proficiency at 2-5 Years Experience level
SL0099,S025,L018,Oracle Database proficiency at 5-8 Years Experience level
SL0100,S025,L019,Oracle Database proficiency at 8-12 Years Experience level
SL0101,S026,L016,Elasticsearch proficiency at 0-2 Years Experience level
SL0102,S026,L017,Elasticsearch proficiency at 2-5 Years Experience level
SL0103,S026,L018,Elasticsearch proficiency at 5-8 Years Experience level
SL0104,S026,L019,Elasticsearch proficiency at 8-12 Years Experience level
SL0105,S027,L016,Cassandra proficiency at 0-2 Years Experience level
SL0106,S027,L017,Cassandra proficiency at 2-5 Years Experience level
SL0107,S027,L018,Cassandra proficiency at 5-8 Years Experience level
SL0108,S027,L019,Cassandra proficiency at 8-12 Years Experience level
SL0109,S028,L016,DynamoDB proficiency at 0-2 Years Experience level
SL0110,S028,L017,DynamoDB proficiency at 2-5 Years Experience level
SL0111,S028,L018,DynamoDB proficiency at 5-8 Years Experience level
SL0112,S028,L019,DynamoDB proficiency at 8-12 Years Experience level
SL0113,S029,L016,Neo4j proficiency at 0-2 Years Experience level
SL0114,S029,L017,Neo4j proficiency at 2-5 Years Experience level
SL0115,S029,L018,Neo4j proficiency at 5-8 Years Experience level
SL0116,S029,L019,Neo4j proficiency at 8-12 Years Experience level
SL0117,S030,L016,SQL proficiency at 0-2 Years Experience level
SL0118,S030,L017,SQL proficiency at 2-5 Years Experience level
SL0119,S030,L018,SQL proficiency at 5-8 Years Experience level
SL0120,S030,L019,SQL proficiency at 8-12 Years Experience level
SL0121,S031,L016,Amazon Web Services proficiency at 0-2 Years Experience level
SL0122,S031,L017,Amazon Web Services proficiency at 2-5 Years Experience level
SL0123,S031,L018,Amazon Web Services proficiency at 5-8 Years Experience level
SL0124,S031,L019,Amazon Web Services proficiency at 8-12 Years Experience level
SL0125,S032,L016,Microsoft Azure proficiency at 0-2 Years Experience level
SL0126,S032,L017,Microsoft Azure proficiency at 2-5 Years Experience level
SL0127,S032,L018,Microsoft Azure proficiency at 5-8 Years Experience level
SL0128,S032,L019,Microsoft Azure proficiency at 8-12 Years Experience level
SL0129,S033,L016,Google Cloud Platform proficiency at 0-2 Years Experience level
SL0130,S033,L017,Google Cloud Platform proficiency at 2-5 Years Experience level
SL0131,S033,L018,Google Cloud Platform proficiency at 5-8 Years Experience level
SL0132,S033,L019,Google Cloud Platform proficiency at 8-12 Years Experience level
SL0133,S034,L016,Docker proficiency at 0-2 Years Experience level
SL0134,S034,L017,Docker proficiency at 2-5 Years Experience level
SL0135,S034,L018,Docker proficiency at 5-8 Years Experience level
